Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
trunk,0.022844,-0.012457,-0.00012974,0,0,0,4.9532,0.016899,1.3713E-05,1.4164E-06,0.037802,0.00014959,0.042043,0,0,0,0,0,0,package://mz04/meshes/trunk.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/trunk.STL,,MZ04-1000-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip,0.083541,-0.0016537,1.2994E-05,0,0,0,0.56406,0.00061418,-3.2659E-06,8.3078E-08,0.0011773,-7.6935E-08,0.00077313,0,0,0,0,0,0,package://mz04/meshes/FR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/FR_hip.STL,,MZ04-2410-1,坐标系2,基准轴1,FR_hip_joint,revolute,0.22625,-0.07,0,0,0,0,trunk,-1,0,0,50,20,-3.14,3.14,,,,,,,,
FR_thigh,-0.00078925,-0.061044,-0.025566,0,0,0,0.72376,0.0046259,-1.8596E-05,-1.1948E-05,0.0048648,-0.00058927,0.001047,0,0,0,0,0,0,package://mz04/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/FR_thigh.STL,,MZ04-2120-1,坐标系6,基准轴5,FR_thigh_joint,revolute,0.08775,-0.02125,0,0,0,0,FR_hip,0,1,0,50,20,-3.14,3.14,,,,,,,,
FR_calf,-0.037767,-4.7349E-06,-0.17641,0,0,0,0.1253,0.00096664,-1.5873E-08,-0.00015606,0.0010073,-1.3304E-08,5.7049E-05,0,0,0,0,0,0,package://mz04/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/FR_calf.STL,,MZ04-2430-1,坐标系10,基准轴9,FR_calf_joint,revolute,0.022901,-0.09275,-0.29912,0,0,0,FR_thigh,0,-1,0,50,20,-3.14,3.14,,,,,,,,
FL_hip,0.083541,0.0016537,-1.2994E-05,0,0,0,0.56406,0.00061418,3.2659E-06,-8.3078E-08,0.0011773,-7.6935E-08,0.00077313,0,0,0,0,0,0,package://mz04/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/FL_hip.STL,,MZ04-2110-1,坐标系3,基准轴2,FL_hip_joint,revolute,0.22625,0.07,0,0,0,0,trunk,-1,0,0,50,20,-3.14,3.14,,,,,,,,
FL_thigh,-0.00071416,0.061044,-0.025546,0,0,0,0.72376,0.0046269,1.7521E-05,-4.0489E-06,0.0048657,0.00058962,0.0010467,0,0,0,0,0,0,package://mz04/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/FL_thigh.STL,,MZ04-2220-1,坐标系7,基准轴6,FL_thigh_joint,revolute,0.08775,0.02125,0,0,0,0,FL_hip,0,-1,0,50,20,-3.14,3.14,,,,,,,,
FL_calf,-0.037767,-4.7349E-06,-0.17641,0,0,0,0.1253,0.00096664,-1.5873E-08,-0.00015606,0.0010073,-1.3304E-08,5.7049E-05,0,0,0,0,0,0,package://mz04/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/FL_calf.STL,,MZ04-2130-1,坐标系11,基准轴10,FL_calf_joint,revolute,0.023579,0.09275,-0.29907,0,0,0,FL_thigh,0,-1,0,50,20,-3.14,3.14,,,,,,,,
RR_hip,-0.083541,-0.0016537,-1.2994E-05,0,0,0,0.56406,0.00061418,3.2659E-06,8.3078E-08,0.0011773,7.6935E-08,0.00077313,0,0,0,0,0,0,package://mz04/meshes/RR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/RR_hip.STL,,MZ04-2210-1,坐标系4,基准轴3,RR_hip_joint,revolute,-0.22625,-0.07,0,0,0,0,trunk,1,0,0,50,20,-3.14,3.14,,,,,,,,
RR_thigh,-0.00078925,-0.061044,-0.025566,0,0,0,0.72376,0.0046259,-1.8596E-05,-1.1948E-05,0.0048648,-0.00058927,0.001047,0,0,0,0,0,0,package://mz04/meshes/RR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/RR_thigh.STL,,MZ04-2320-1,坐标系8,基准轴7,RR_thigh_joint,revolute,-0.08775,-0.02125,0,0,0,0,RR_hip,0,1,0,50,20,-3.14,3.14,,,,,,,,
RR_calf,-0.037767,-4.7349E-06,-0.17641,0,0,0,0.1253,0.00096664,-1.5873E-08,-0.00015606,0.0010073,-1.3304E-08,5.7049E-05,0,0,0,0,0,0,package://mz04/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/RR_calf.STL,,MZ04-2230-1,坐标系12,基准轴11,RR_calf_joint,revolute,0.022901,-0.09275,-0.29912,0,0,0,RR_thigh,0,-1,0,50,20,-3.14,3.14,,,,,,,,
RL_hip,-0.083541,0.0016537,1.2994E-05,0,0,0,0.56406,0.00061418,-3.2659E-06,-8.3078E-08,0.0011773,7.6935E-08,0.00077313,0,0,0,0,0,0,package://mz04/meshes/RL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/RL_hip.STL,,MZ04-2310-1,坐标系5,基准轴4,RL_hip_joint,revolute,-0.22625,0.07,0,0,0,0,trunk,1,0,0,50,20,-3.14,3.14,,,,,,,,
RL_thigh,-0.00082867,0.061044,-0.025542,0,0,0,0.72376,0.0046268,2.0164E-05,-2.0099E-05,0.0048657,0.00058953,0.0010468,0,0,0,0,0,0,package://mz04/meshes/RL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/RL_thigh.STL,,MZ04-2420-1,坐标系9,基准轴8,RL_thigh_joint,revolute,-0.08775,0.02125,0,0,0,0,RL_hip,0,-1,0,50,20,-3.14,3.14,,,,,,,,
RL_calf,-0.037767,-4.7357E-06,-0.17641,0,0,0,0.1253,0.00096664,-1.5874E-08,-0.00015606,0.0010073,-1.3303E-08,5.7049E-05,0,0,0,0,0,0,package://mz04/meshes/RL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://mz04/meshes/RL_calf.STL,,MZ04-2330-1,坐标系13,基准轴12,RL_calf_joint,revolute,0.022238,0.09275,-0.29917,0,0,0,RL_thigh,0,-1,0,50,20,-3.14,3.14,,,,,,,,
